approval,month,date
45,1,2017-1-20
45,1,2017-1-21
46,1,2017-1-22
46,1,2017-1-23
45,1,2017-1-24
42,1,2017-1-25
42,1,2017-1-26
43,1,2017-1-27
43,1,2017-1-28
43,1,2017-1-29
43,1,2017-1-30
43,1,2017-1-31
44,2,2017-2-1
42,2,2017-2-2
42,2,2017-2-3
42,2,2017-2-4
43,2,2017-2-5
43,2,2017-2-6
42,2,2017-2-7
41,2,2017-2-8
40,2,2017-2-9
40,2,2017-2-10
40,2,2017-2-11
40,2,2017-2-12
40,2,2017-2-13
38,2,2017-2-14
40,2,2017-2-15
41,2,2017-2-16
42,2,2017-2-17
41,2,2017-2-18
42,2,2017-2-19
43,2,2017-2-20
43,2,2017-2-21
41,2,2017-2-22
41,2,2017-2-23
42,2,2017-2-24
42,2,2017-2-25
43,2,2017-2-26
43,2,2017-2-27
43,2,2017-2-28
43,3,2017-3-1
43,3,2017-3-2
44,3,2017-3-3
43,3,2017-3-4
42,3,2017-3-5
41,3,2017-3-6
42,3,2017-3-7
44,3,2017-3-8
45,3,2017-3-9
42,3,2017-3-10
39,3,2017-3-11
40,3,2017-3-12
42,3,2017-3-13
41,3,2017-3-14
40,3,2017-3-15
37,3,2017-3-16
39,3,2017-3-17
39,3,2017-3-18
40,3,2017-3-19
39,3,2017-3-20
41,3,2017-3-21
41,3,2017-3-22
40,3,2017-3-23
36,3,2017-3-24
36,3,2017-3-25
35,3,2017-3-26
38,3,2017-3-27
38,3,2017-3-28
40,3,2017-3-29
38,3,2017-3-30
38,3,2017-3-31
39,4,2017-4-1
42,4,2017-4-2
41,4,2017-4-3
40,4,2017-4-4
40,4,2017-4-5
40,4,2017-4-6
40,4,2017-4-7
40,4,2017-4-8
41,4,2017-4-9
40,4,2017-4-10
40,4,2017-4-11
39,4,2017-4-12
41,4,2017-4-13
41,4,2017-4-14
42,4,2017-4-15
43,4,2017-4-17
43,4,2017-4-18
42,4,2017-4-19
40,4,2017-4-20
40,4,2017-4-21
40,4,2017-4-22
39,4,2017-4-23
40,4,2017-4-24
43,4,2017-4-25
43,4,2017-4-26
42,4,2017-4-27
41,4,2017-4-28
42,4,2017-4-29
42,4,2017-4-30
42,5,2017-5-1
40,5,2017-5-2
40,5,2017-5-3
40,5,2017-5-4
42,5,2017-5-5
40,5,2017-5-6
40,5,2017-5-7
38,5,2017-5-8
41,5,2017-5-9
40,5,2017-5-10
39,5,2017-5-11
38,5,2017-5-12
38,5,2017-5-13
38,5,2017-5-14
38,5,2017-5-15
38,5,2017-5-16
37,5,2017-5-17
38,5,2017-5-18
37,5,2017-5-19
38,5,2017-5-20
39,5,2017-5-21
39,5,2017-5-22
41,5,2017-5-23
41,5,2017-5-24
42,5,2017-5-25
42,5,2017-5-26
41,5,2017-5-27
41,5,2017-5-28
40,5,2017-5-29
39,5,2017-5-30
37,5,2017-5-31
36,6,2017-6-1
37,6,2017-6-2
38,6,2017-6-3
38,6,2017-6-4
37,6,2017-6-5
37,6,2017-6-6
39,6,2017-6-7
38,6,2017-6-8
36,6,2017-6-9
36,6,2017-6-10
36,6,2017-6-11
38,6,2017-6-12
38,6,2017-6-13
39,6,2017-6-14
39,6,2017-6-15
38,6,2017-6-16
37,6,2017-6-17
37,6,2017-6-18
39,6,2017-6-19
42,6,2017-6-20
39,6,2017-6-21
38,6,2017-6-22
36,6,2017-6-23
39,6,2017-6-24
39,6,2017-6-25
40,6,2017-6-26
38,6,2017-6-27
38,6,2017-6-28
37,6,2017-6-29
39,6,2017-6-30
37,7,2017-7-1
37,7,2017-7-2
37,7,2017-7-3
38,7,2017-7-5
39,7,2017-7-6
39,7,2017-7-7
40,7,2017-7-8
40,7,2017-7-9
39,7,2017-7-10
38,7,2017-7-11
38,7,2017-7-13
39,7,2017-7-14
38,7,2017-7-15
37,7,2017-7-16
36,7,2017-7-17
37,7,2017-7-18
38,7,2017-7-19
39,7,2017-7-20
37,7,2017-7-21
36,7,2017-7-22
37,7,2017-7-23
39,7,2017-7-24
39,7,2017-7-25
39,7,2017-7-26
38,7,2017-7-27
37,7,2017-7-28
37,7,2017-7-29
36,7,2017-7-30
36,7,2017-7-31
36,8,2017-8-1
37,8,2017-8-2
38,8,2017-8-3
38,8,2017-8-4
37,8,2017-8-5
36,8,2017-8-6
36,8,2017-8-7
37,8,2017-8-8
37,8,2017-8-9
36,8,2017-8-10
34,8,2017-8-11
36,8,2017-8-12
36,8,2017-8-13
37,8,2017-8-14
38,8,2017-8-15
37,8,2017-8-16
36,8,2017-8-17
35,8,2017-8-18
35,8,2017-8-19
35,8,2017-8-20
34,8,2017-8-21
34,8,2017-8-22
35,8,2017-8-23
35,8,2017-8-24
35,8,2017-8-25
35,8,2017-8-26
35,8,2017-8-27
34,8,2017-8-28
34,8,2017-8-29
34,8,2017-8-30
36,8,2017-8-31
38,9,2017-9-1
37,9,2017-9-2
37,9,2017-9-3
36,9,2017-9-4
36,9,2017-9-5
38,9,2017-9-6
38,9,2017-9-7
38,9,2017-9-8
37,9,2017-9-9
37,9,2017-9-10
37,9,2017-9-11
37,9,2017-9-12
36,9,2017-9-13
38,9,2017-9-14
38,9,2017-9-15
38,9,2017-9-16
39,9,2017-9-17
37,9,2017-9-18
38,9,2017-9-19
37,9,2017-9-20
40,9,2017-9-21
39,9,2017-9-22
39,9,2017-9-23
37,9,2017-9-24
36,9,2017-9-25
37,9,2017-9-26
37,9,2017-9-27
38,9,2017-9-28
37,9,2017-9-29
38,9,2017-9-30
39,10,2017-10-1
39,10,2017-10-2
39,10,2017-10-3
39,10,2017-10-4
38,10,2017-10-5
37,10,2017-10-6
36,10,2017-10-7
37,10,2017-10-8
37,10,2017-10-9
39,10,2017-10-10
38,10,2017-10-11
38,10,2017-10-12
36,10,2017-10-13
37,10,2017-10-14
36,10,2017-10-15
36,10,2017-10-16
35,10,2017-10-17
36,10,2017-10-18
36,10,2017-10-19
36,10,2017-10-20
36,10,2017-10-21
36,10,2017-10-22
37,10,2017-10-23
36,10,2017-10-24
36,10,2017-10-25
35,10,2017-10-26
33,10,2017-10-27
34,10,2017-10-28
35,10,2017-10-29
38,10,2017-10-30
39,10,2017-10-31
39,11,2017-11-1
37,11,2017-11-2
37,11,2017-11-3
37,11,2017-11-4
38,11,2017-11-5
37,11,2017-11-6
37,11,2017-11-7
38,11,2017-11-8
39,11,2017-11-9
38,11,2017-11-10
38,11,2017-11-11
37,11,2017-11-12
37,11,2017-11-13
37,11,2017-11-14
39,11,2017-11-15
38,11,2017-11-16
38,11,2017-11-17
36,11,2017-11-18
38,11,2017-11-19
38,11,2017-11-20
38,11,2017-11-21
37,11,2017-11-22
37,11,2017-11-24
37,11,2017-11-25
38,11,2017-11-26
36,11,2017-11-27
34,11,2017-11-28
33,11,2017-11-29
34,11,2017-11-30
35,12,2017-12-1
35,12,2017-12-2
36,12,2017-12-3
37,12,2017-12-4
38,12,2017-12-5
37,12,2017-12-6
36,12,2017-12-7
35,12,2017-12-8
35,12,2017-12-9
36,12,2017-12-10
36,12,2017-12-11
35,12,2017-12-12
34,12,2017-12-13
35,12,2017-12-14
34,12,2017-12-15
36,12,2017-12-16
35,12,2017-12-17
35,12,2017-12-18
36,12,2017-12-19
38,12,2017-12-20
39,12,2017-12-21
38,12,2017-12-22
38,12,2017-12-23
38,12,2017-12-26
38,12,2017-12-27
40,12,2017-12-28
